"flight_no","day_of_week","fare_conditions","max_price","min_price","avg_price"
"PG0012","Thursday ","Economy",13500.0,12300.0,12390.36
"PG0012","Tuesday  ","Economy",13500.0,12300.0,12390.36
"PG0012","Saturday ","Economy",13500.0,12300.0,12390.36
"PG0013","Friday   ","Business",42100.0,42100.0,42100.0
"PG0013","Sunday   ","Business",42100.0,42100.0,42100.0
"PG0013","Tuesday  ","Business",42100.0,42100.0,42100.0
"PG0013","Saturday ","Business",42100.0,42100.0,42100.0
"PG0013","Thursday ","Business",42100.0,42100.0,42100.0
"PG0013","Monday   ","Business",42100.0,42100.0,42100.0
"PG0013","Wednesday","Business",42100.0,42100.0,42100.0
"PG0013","Friday   ","Comfort",23900.0,23900.0,23900.0
"PG0013","Sunday   ","Comfort",23900.0,23900.0,23900.0
"PG0013","Tuesday  ","Comfort",23900.0,23900.0,23900.0
"PG0013","Wednesday","Comfort",23900.0,23900.0,23900.0
"PG0013","Thursday ","Comfort",23900.0,23900.0,23900.0
"PG0013","Monday   ","Comfort",23900.0,23900.0,23900.0
"PG0013","Saturday ","Comfort",23900.0,23900.0,23900.0
"PG0013","Wednesday","Economy",15400.0,14000.0,14051.87
"PG0013","Monday   ","Economy",15400.0,14000.0,14051.87
"PG0013","Friday   ","Economy",15400.0,14000.0,14051.87
"PG0013","Tuesday  ","Economy",15400.0,14000.0,14051.87
"PG0013","Thursday ","Economy",15400.0,14000.0,14051.87
"PG0013","Saturday ","Economy",15400.0,14000.0,14051.87
"PG0013","Sunday   ","Economy",15400.0,14000.0,14051.87
"PG0014","Sunday   ","Business",9800.0,9800.0,9800.0
"PG0014","Monday   ","Business",9800.0,9800.0,9800.0
"PG0014","Saturday ","Business",9800.0,9800.0,9800.0
"PG0014","Friday   ","Business",9800.0,9800.0,9800.0
"PG0014","Thursday ","Business",9800.0,9800.0,9800.0
"PG0014","Tuesday  ","Business",9800.0,9800.0,9800.0
"PG0014","Wednesday","Business",9800.0,9800.0,9800.0
"PG0014","Saturday ","Economy",3600.0,3300.0,3318.38
"PG0014","Tuesday  ","Economy",3600.0,3300.0,3318.38
"PG0014","Monday   ","Economy",3600.0,3300.0,3318.38
"PG0014","Sunday   ","Economy",3600.0,3300.0,3318.38
"PG0014","Thursday ","Economy",3600.0,3300.0,3318.38
"PG0014","Wednesday","Economy",3600.0,3300.0,3318.38
"PG0014","Friday   ","Economy",3600.0,3300.0,3318.38
"PG0015","Saturday ","Economy",20600.0,18700.0,18851.45
"PG0015","Wednesday","Economy",20600.0,18700.0,18851.45
"PG0016","Sunday   ","Economy",20600.0,18700.0,18841.79
"PG0016","Thursday ","Economy",20600.0,18700.0,18841.79
"PG0019","Sunday   ","Economy",10500.0,9500.0,9588.76
"PG0019","Monday   ","Economy",10500.0,9500.0,9588.76
"PG0019","Tuesday  ","Economy",10500.0,9500.0,9588.76
"PG0019","Wednesday","Economy",10500.0,9500.0,9588.76
"PG0019","Thursday ","Economy",10500.0,9500.0,9588.76
"PG0019","Saturday ","Economy",10500.0,9500.0,9588.76
"PG0019","Friday   ","Economy",10500.0,9500.0,9588.76
"PG0020","Friday   ","Economy",10500.0,9500.0,9582.26
"PG0020","Sunday   ","Economy",10500.0,9500.0,9582.26
"PG0020","Wednesday","Economy",10500.0,9500.0,9582.26
"PG0020","Saturday ","Economy",10500.0,9500.0,9582.26
"PG0020","Monday   ","Economy",10500.0,9500.0,9582.26
"PG0020","Tuesday  ","Economy",10500.0,9500.0,9582.26
"PG0020","Thursday ","Economy",10500.0,9500.0,9582.26
"PG0029","Monday   ","Economy",5300.0,5300.0,5300.0
"PG0029","Friday   ","Economy",5300.0,5300.0,5300.0
"PG0029","Sunday   ","Economy",5300.0,5300.0,5300.0
"PG0029","Tuesday  ","Economy",5300.0,5300.0,5300.0
"PG0029","Thursday ","Economy",5300.0,5300.0,5300.0
"PG0029","Wednesday","Economy",5300.0,5300.0,5300.0
"PG0029","Saturday ","Economy",5300.0,5300.0,5300.0
"PG0030","Sunday   ","Economy",5300.0,5300.0,5300.0
"PG0030","Monday   ","Economy",5300.0,5300.0,5300.0
"PG0030","Saturday ","Economy",5300.0,5300.0,5300.0
"PG0030","Friday   ","Economy",5300.0,5300.0,5300.0
"PG0030","Wednesday","Economy",5300.0,5300.0,5300.0
"PG0030","Thursday ","Economy",5300.0,5300.0,5300.0
"PG0030","Tuesday  ","Economy",5300.0,5300.0,5300.0
"PG0032","Sunday   ","Economy",5300.0,5300.0,5300.0
"PG0032","Thursday ","Economy",5300.0,5300.0,5300.0
"PG0032","Friday   ","Economy",5300.0,5300.0,5300.0
"PG0032","Wednesday","Economy",5300.0,5300.0,5300.0
"PG0032","Tuesday  ","Economy",5300.0,5300.0,5300.0
"PG0032","Monday   ","Economy",5300.0,5300.0,5300.0
"PG0032","Saturday ","Economy",5300.0,5300.0,5300.0
"PG0035","Saturday ","Economy",8700.0,8700.0,8700.0
"PG0035","Sunday   ","Economy",8700.0,8700.0,8700.0
"PG0035","Monday   ","Economy",8700.0,8700.0,8700.0
"PG0035","Friday   ","Economy",8700.0,8700.0,8700.0
"PG0035","Thursday ","Economy",8700.0,8700.0,8700.0
"PG0035","Tuesday  ","Economy",8700.0,8700.0,8700.0
"PG0035","Wednesday","Economy",8700.0,8700.0,8700.0
"PG0038","Tuesday  ","Economy",8700.0,8700.0,8700.0
"PG0038","Friday   ","Economy",8700.0,8700.0,8700.0
"PG0038","Saturday ","Economy",8700.0,8700.0,8700.0
"PG0038","Sunday   ","Economy",8700.0,8700.0,8700.0
"PG0038","Thursday ","Economy",8700.0,8700.0,8700.0
"PG0038","Monday   ","Economy",8700.0,8700.0,8700.0
"PG0038","Wednesday","Economy",8700.0,8700.0,8700.0
"PG0039","Sunday   ","Business",9700.0,9700.0,9700.0
"PG0039","Wednesday","Business",9700.0,9700.0,9700.0
"PG0039","Saturday ","Business",9700.0,9700.0,9700.0
"PG0039","Thursday ","Business",9700.0,9700.0,9700.0
"PG0039","Monday   ","Business",9700.0,9700.0,9700.0
"PG0039","Friday   ","Business",9700.0,9700.0,9700.0
"PG0039","Tuesday  ","Business",9700.0,9700.0,9700.0
"PG0039","Thursday ","Economy",3500.0,3200.0,3217.32
"PG0039","Friday   ","Economy",3500.0,3200.0,3217.32
"PG0039","Monday   ","Economy",3500.0,3200.0,3217.32
"PG0039","Sunday   ","Economy",3500.0,3200.0,3217.32
"PG0039","Tuesday  ","Economy",3500.0,3200.0,3217.32
"PG0039","Wednesday","Economy",3500.0,3200.0,3217.32
"PG0039","Saturday ","Economy",3500.0,3200.0,3217.32
"PG0040","Monday   ","Business",9700.0,9700.0,9700.0
"PG0040","Friday   ","Business",9700.0,9700.0,9700.0
"PG0040","Wednesday","Business",9700.0,9700.0,9700.0
"PG0040","Saturday ","Business",9700.0,9700.0,9700.0
"PG0040","Tuesday  ","Business",9700.0,9700.0,9700.0
"PG0040","Sunday   ","Business",9700.0,9700.0,9700.0
"PG0040","Thursday ","Business",9700.0,9700.0,9700.0
"PG0040","Thursday ","Economy",3500.0,3200.0,3217.91
"PG0040","Monday   ","Economy",3500.0,3200.0,3217.91
"PG0040","Saturday ","Economy",3500.0,3200.0,3217.91
"PG0040","Wednesday","Economy",3500.0,3200.0,3217.91
"PG0040","Sunday   ","Economy",3500.0,3200.0,3217.91
"PG0040","Friday   ","Economy",3500.0,3200.0,3217.91
"PG0040","Tuesday  ","Economy",3500.0,3200.0,3217.91
"PG0041","Thursday ","Economy",23000.0,20900.0,21036.06
"PG0041","Saturday ","Economy",23000.0,20900.0,21036.06
"PG0041","Tuesday  ","Economy",23000.0,20900.0,21036.06
"PG0042","Sunday   ","Economy",26000.0,23600.0,23755.08
"PG0042","Thursday ","Economy",26000.0,23600.0,23755.08
"PG0043","Monday   ","Economy",10900.0,9900.0,9979.06
"PG0043","Sunday   ","Economy",10900.0,9900.0,9979.06
"PG0043","Thursday ","Economy",10900.0,9900.0,9979.06
"PG0043","Saturday ","Economy",10900.0,9900.0,9979.06
"PG0043","Tuesday  ","Economy",10900.0,9900.0,9979.06
"PG0043","Friday   ","Economy",10900.0,9900.0,9979.06
"PG0043","Wednesday","Economy",10900.0,9900.0,9979.06
"PG0044","Tuesday  ","Economy",10900.0,9900.0,9969.35
"PG0044","Thursday ","Economy",10900.0,9900.0,9969.35
"PG0044","Saturday ","Economy",10900.0,9900.0,9969.35
"PG0044","Sunday   ","Economy",10900.0,9900.0,9969.35
"PG0044","Friday   ","Economy",10900.0,9900.0,9969.35
"PG0044","Monday   ","Economy",10900.0,9900.0,9969.35
"PG0044","Wednesday","Economy",10900.0,9900.0,9969.35
"PG0045","Saturday ","Economy",16100.0,14600.0,14684.47
"PG0045","Monday   ","Economy",16100.0,14600.0,14684.47
"PG0045","Thursday ","Economy",16100.0,14600.0,14684.47
"PG0045","Wednesday","Economy",16100.0,14600.0,14684.47
"PG0045","Tuesday  ","Economy",16100.0,14600.0,14684.47
"PG0045","Friday   ","Economy",16100.0,14600.0,14684.47
"PG0045","Sunday   ","Economy",16100.0,14600.0,14684.47
"PG0046","Saturday ","Economy",16100.0,14600.0,14710.45
"PG0046","Friday   ","Economy",16100.0,14600.0,14710.45
"PG0046","Wednesday","Economy",16100.0,14600.0,14710.45
"PG0046","Thursday ","Economy",16100.0,14600.0,14710.45
"PG0046","Sunday   ","Economy",16100.0,14600.0,14710.45
"PG0046","Monday   ","Economy",16100.0,14600.0,14710.45
"PG0046","Tuesday  ","Economy",16100.0,14600.0,14710.45
"PG0049","Sunday   ","Economy",13500.0,12300.0,12394.26
"PG0049","Friday   ","Economy",13500.0,12300.0,12394.26
"PG0049","Tuesday  ","Economy",13500.0,12300.0,12394.26
"PG0050","Tuesday  ","Economy",7900.0,7200.0,7252.79
"PG0050","Wednesday","Economy",7900.0,7200.0,7252.79
"PG0050","Friday   ","Economy",7900.0,7200.0,7252.79
"PG0050","Sunday   ","Economy",7900.0,7200.0,7252.79
"PG0050","Thursday ","Economy",7900.0,7200.0,7252.79
"PG0050","Monday   ","Economy",7900.0,7200.0,7252.79
"PG0050","Saturday ","Economy",7900.0,7200.0,7252.79
"PG0051","Sunday   ","Economy",7900.0,7200.0,7251.3
"PG0051","Tuesday  ","Economy",7900.0,7200.0,7251.3
"PG0051","Friday   ","Economy",7900.0,7200.0,7251.3
"PG0051","Saturday ","Economy",7900.0,7200.0,7251.3
"PG0051","Monday   ","Economy",7900.0,7200.0,7251.3
"PG0051","Thursday ","Economy",7900.0,7200.0,7251.3
"PG0051","Wednesday","Economy",7900.0,7200.0,7251.3
"PG0052","Monday   ","Economy",21300.0,19300.0,19475.86
"PG0052","Thursday ","Economy",21300.0,19300.0,19475.86
"PG0052","Wednesday","Economy",21300.0,19300.0,19475.86
"PG0052","Tuesday  ","Economy",21300.0,19300.0,19475.86
"PG0052","Sunday   ","Economy",21300.0,19300.0,19475.86
"PG0052","Saturday ","Economy",21300.0,19300.0,19475.86
"PG0052","Friday   ","Economy",21300.0,19300.0,19475.86
"PG0053","Sunday   ","Economy",21300.0,19300.0,19465.32
"PG0053","Friday   ","Economy",21300.0,19300.0,19465.32
"PG0053","Saturday ","Economy",21300.0,19300.0,19465.32
"PG0053","Tuesday  ","Economy",21300.0,19300.0,19465.32
"PG0053","Thursday ","Economy",21300.0,19300.0,19465.32
"PG0053","Monday   ","Economy",21300.0,19300.0,19465.32
"PG0053","Wednesday","Economy",21300.0,19300.0,19465.32
"PG0055","Sunday   ","Economy",3700.0,3700.0,3700.0
"PG0055","Friday   ","Economy",3700.0,3700.0,3700.0
"PG0055","Thursday ","Economy",3700.0,3700.0,3700.0
"PG0055","Monday   ","Economy",3700.0,3700.0,3700.0
"PG0055","Wednesday","Economy",3700.0,3700.0,3700.0
"PG0055","Saturday ","Economy",3700.0,3700.0,3700.0
"PG0055","Tuesday  ","Economy",3700.0,3700.0,3700.0
"PG0056","Thursday ","Economy",3700.0,3700.0,3700.0
"PG0056","Monday   ","Economy",3700.0,3700.0,3700.0
"PG0056","Saturday ","Economy",3700.0,3700.0,3700.0
"PG0056","Wednesday","Economy",3700.0,3700.0,3700.0
"PG0056","Tuesday  ","Economy",3700.0,3700.0,3700.0
"PG0056","Sunday   ","Economy",3700.0,3700.0,3700.0
"PG0056","Friday   ","Economy",3700.0,3700.0,3700.0
"PG0059","Friday   ","Economy",7100.0,7100.0,7100.0
"PG0059","Sunday   ","Economy",7100.0,7100.0,7100.0
"PG0059","Thursday ","Economy",7100.0,7100.0,7100.0
"PG0059","Wednesday","Economy",7100.0,7100.0,7100.0
"PG0059","Saturday ","Economy",7100.0,7100.0,7100.0
"PG0059","Monday   ","Economy",7100.0,7100.0,7100.0
"PG0059","Tuesday  ","Economy",7100.0,7100.0,7100.0
"PG0061","Sunday   ","Economy",7100.0,7100.0,7100.0
"PG0061","Tuesday  ","Economy",7100.0,7100.0,7100.0
"PG0061","Saturday ","Economy",7100.0,7100.0,7100.0
"PG0061","Friday   ","Economy",7100.0,7100.0,7100.0
"PG0061","Thursday ","Economy",7100.0,7100.0,7100.0
"PG0061","Monday   ","Economy",7100.0,7100.0,7100.0
"PG0061","Wednesday","Economy",7100.0,7100.0,7100.0
"PG0062","Wednesday","Economy",5900.0,5400.0,5438.76
"PG0062","Thursday ","Economy",5900.0,5400.0,5438.76
"PG0062","Tuesday  ","Economy",5900.0,5400.0,5438.76
"PG0062","Monday   ","Economy",5900.0,5400.0,5438.76
"PG0062","Saturday ","Economy",5900.0,5400.0,5438.76
"PG0062","Friday   ","Economy",5900.0,5400.0,5438.76
"PG0062","Sunday   ","Economy",5900.0,5400.0,5438.76
"PG0063","Wednesday","Economy",5900.0,5400.0,5440.13
"PG0063","Saturday ","Economy",5900.0,5400.0,5440.13
"PG0063","Tuesday  ","Economy",5900.0,5400.0,5440.13
"PG0063","Thursday ","Economy",5900.0,5400.0,5440.13
"PG0063","Monday   ","Economy",5900.0,5400.0,5440.13
"PG0063","Friday   ","Economy",5900.0,5400.0,5440.13
"PG0063","Sunday   ","Economy",5900.0,5400.0,5440.13
"PG0064","Thursday ","Business",133200.0,133200.0,133200.0
"PG0064","Monday   ","Business",133200.0,133200.0,133200.0
"PG0064","Saturday ","Business",133200.0,133200.0,133200.0
"PG0064","Monday   ","Economy",48800.0,44400.0,44554.14
"PG0064","Thursday ","Economy",48800.0,44400.0,44554.14
"PG0064","Saturday ","Economy",48800.0,44400.0,44554.14
"PG0065","Thursday ","Business",133200.0,133200.0,133200.0
"PG0065","Monday   ","Business",133200.0,133200.0,133200.0
"PG0065","Saturday ","Business",133200.0,133200.0,133200.0
"PG0065","Saturday ","Economy",48800.0,44400.0,44547.16
"PG0065","Thursday ","Economy",48800.0,44400.0,44547.16
"PG0065","Monday   ","Economy",48800.0,44400.0,44547.16
"PG0066","Monday   ","Economy",13800.0,12500.0,12608.97
"PG0066","Friday   ","Economy",13800.0,12500.0,12608.97
"PG0066","Wednesday","Economy",13800.0,12500.0,12608.97
"PG0066","Thursday ","Economy",13800.0,12500.0,12608.97
"PG0066","Sunday   ","Economy",13800.0,12500.0,12608.97
"PG0066","Tuesday  ","Economy",13800.0,12500.0,12608.97
"PG0066","Saturday ","Economy",13800.0,12500.0,12608.97
"PG0067","Tuesday  ","Economy",13800.0,12500.0,12613.58
"PG0067","Thursday ","Economy",13800.0,12500.0,12613.58
"PG0067","Saturday ","Economy",13800.0,12500.0,12613.58
"PG0067","Friday   ","Economy",13800.0,12500.0,12613.58
"PG0067","Monday   ","Economy",13800.0,12500.0,12613.58
"PG0067","Wednesday","Economy",13800.0,12500.0,12613.58
"PG0067","Sunday   ","Economy",13800.0,12500.0,12613.58
"PG0070","Sunday   ","Economy",4900.0,4900.0,4900.0
"PG0070","Friday   ","Economy",4900.0,4900.0,4900.0
"PG0070","Saturday ","Economy",4900.0,4900.0,4900.0
"PG0070","Thursday ","Economy",4900.0,4900.0,4900.0
"PG0070","Tuesday  ","Economy",4900.0,4900.0,4900.0
"PG0070","Monday   ","Economy",4900.0,4900.0,4900.0
"PG0070","Wednesday","Economy",4900.0,4900.0,4900.0
"PG0071","Thursday ","Economy",4900.0,4900.0,4900.0
"PG0071","Monday   ","Economy",4900.0,4900.0,4900.0
"PG0071","Saturday ","Economy",4900.0,4900.0,4900.0
"PG0071","Friday   ","Economy",4900.0,4900.0,4900.0
"PG0071","Sunday   ","Economy",4900.0,4900.0,4900.0
"PG0071","Tuesday  ","Economy",4900.0,4900.0,4900.0
"PG0071","Wednesday","Economy",4900.0,4900.0,4900.0
"PG0072","Thursday ","Business",87300.0,87300.0,87300.0
"PG0072","Tuesday  ","Business",87300.0,87300.0,87300.0
"PG0072","Saturday ","Business",87300.0,87300.0,87300.0
"PG0072","Tuesday  ","Economy",32000.0,29100.0,29256.66
"PG0072","Saturday ","Economy",32000.0,29100.0,29256.66
"PG0072","Thursday ","Economy",32000.0,29100.0,29256.66
"PG0073","Saturday ","Business",105400.0,105400.0,105400.0
"PG0073","Saturday ","Economy",38600.0,35100.0,35431.08
"PG0077","Monday   ","Economy",4400.0,4400.0,4400.0
"PG0077","Saturday ","Economy",4400.0,4400.0,4400.0
"PG0077","Tuesday  ","Economy",4400.0,4400.0,4400.0
"PG0077","Friday   ","Economy",4400.0,4400.0,4400.0
"PG0077","Wednesday","Economy",4400.0,4400.0,4400.0
"PG0077","Sunday   ","Economy",4400.0,4400.0,4400.0
"PG0077","Thursday ","Economy",4400.0,4400.0,4400.0
"PG0079","Sunday   ","Economy",4400.0,4400.0,4400.0
"PG0079","Thursday ","Economy",4400.0,4400.0,4400.0
"PG0079","Saturday ","Economy",4400.0,4400.0,4400.0
"PG0079","Monday   ","Economy",4400.0,4400.0,4400.0
"PG0079","Tuesday  ","Economy",4400.0,4400.0,4400.0
"PG0079","Wednesday","Economy",4400.0,4400.0,4400.0
"PG0079","Friday   ","Economy",4400.0,4400.0,4400.0
"PG0087","Wednesday","Business",92200.0,92200.0,92200.0
"PG0087","Wednesday","Economy",33800.0,30700.0,30825.0
"PG0088","Saturday ","Business",92200.0,92200.0,92200.0
"PG0088","Saturday ","Economy",33800.0,30700.0,30872.22
"PG0089","Monday   ","Business",48400.0,48400.0,48400.0
"PG0089","Friday   ","Business",48400.0,48400.0,48400.0
"PG0089","Saturday ","Business",48400.0,48400.0,48400.0
"PG0089","Thursday ","Business",48400.0,48400.0,48400.0
"PG0089","Tuesday  ","Business",48400.0,48400.0,48400.0
"PG0089","Wednesday","Business",48400.0,48400.0,48400.0
"PG0089","Sunday   ","Business",48400.0,48400.0,48400.0
"PG0089","Saturday ","Economy",17800.0,16100.0,16205.27
"PG0089","Wednesday","Economy",17800.0,16100.0,16205.27
"PG0089","Friday   ","Economy",17800.0,16100.0,16205.27
"PG0089","Thursday ","Economy",17800.0,16100.0,16205.27
"PG0089","Sunday   ","Economy",17800.0,16100.0,16205.27
"PG0089","Monday   ","Economy",17800.0,16100.0,16205.27
"PG0089","Tuesday  ","Economy",17800.0,16100.0,16205.27
"PG0090","Sunday   ","Business",48400.0,48400.0,48400.0
"PG0090","Wednesday","Business",48400.0,48400.0,48400.0
"PG0090","Thursday ","Business",48400.0,48400.0,48400.0
"PG0090","Monday   ","Business",48400.0,48400.0,48400.0
"PG0090","Saturday ","Business",48400.0,48400.0,48400.0
"PG0090","Tuesday  ","Business",48400.0,48400.0,48400.0
"PG0090","Friday   ","Business",48400.0,48400.0,48400.0
"PG0090","Monday   ","Economy",17800.0,16100.0,16193.21
"PG0090","Friday   ","Economy",17800.0,16100.0,16193.21
"PG0090","Sunday   ","Economy",17800.0,16100.0,16193.21
"PG0090","Tuesday  ","Economy",17800.0,16100.0,16193.21
"PG0090","Thursday ","Economy",17800.0,16100.0,16193.21
"PG0090","Saturday ","Economy",17800.0,16100.0,16193.21
"PG0090","Wednesday","Economy",17800.0,16100.0,16193.21
"PG0093","Tuesday  ","Economy",16800.0,15300.0,15429.81
"PG0094","Monday   ","Economy",16800.0,15300.0,15425.0
"PG0095","Sunday   ","Business",50000.0,50000.0,50000.0
"PG0095","Monday   ","Business",50000.0,50000.0,50000.0
"PG0095","Saturday ","Business",50000.0,50000.0,50000.0
"PG0095","Friday   ","Business",50000.0,50000.0,50000.0
"PG0095","Tuesday  ","Business",50000.0,50000.0,50000.0
"PG0095","Thursday ","Business",50000.0,50000.0,50000.0
"PG0095","Wednesday","Business",50000.0,50000.0,50000.0
"PG0095","Thursday ","Economy",18300.0,16700.0,16792.97
"PG0095","Monday   ","Economy",18300.0,16700.0,16792.97
"PG0095","Wednesday","Economy",18300.0,16700.0,16792.97
"PG0095","Tuesday  ","Economy",18300.0,16700.0,16792.97
"PG0095","Saturday ","Economy",18300.0,16700.0,16792.97
"PG0095","Friday   ","Economy",18300.0,16700.0,16792.97
"PG0095","Sunday   ","Economy",18300.0,16700.0,16792.97
"PG0096","Saturday ","Business",50000.0,50000.0,50000.0
"PG0096","Friday   ","Business",50000.0,50000.0,50000.0
"PG0096","Sunday   ","Business",50000.0,50000.0,50000.0
"PG0096","Wednesday","Business",50000.0,50000.0,50000.0
"PG0096","Tuesday  ","Business",50000.0,50000.0,50000.0
"PG0096","Thursday ","Business",50000.0,50000.0,50000.0
"PG0096","Monday   ","Business",50000.0,50000.0,50000.0
"PG0096","Saturday ","Economy",18300.0,16700.0,16795.35
"PG0096","Wednesday","Economy",18300.0,16700.0,16795.35
"PG0096","Thursday ","Economy",18300.0,16700.0,16795.35
"PG0096","Sunday   ","Economy",18300.0,16700.0,16795.35
"PG0096","Monday   ","Economy",18300.0,16700.0,16795.35
"PG0096","Friday   ","Economy",18300.0,16700.0,16795.35
"PG0096","Tuesday  ","Economy",18300.0,16700.0,16795.35
"PG0097","Friday   ","Economy",11200.0,11200.0,11200.0
"PG0097","Sunday   ","Economy",11200.0,11200.0,11200.0
"PG0097","Thursday ","Economy",11200.0,11200.0,11200.0
"PG0097","Wednesday","Economy",11200.0,11200.0,11200.0
"PG0097","Saturday ","Economy",11200.0,11200.0,11200.0
"PG0097","Tuesday  ","Economy",11200.0,11200.0,11200.0
"PG0097","Monday   ","Economy",11200.0,11200.0,11200.0
"PG0098","Sunday   ","Economy",11200.0,11200.0,11200.0
"PG0098","Saturday ","Economy",11200.0,11200.0,11200.0
"PG0098","Wednesday","Economy",11200.0,11200.0,11200.0
"PG0098","Friday   ","Economy",11200.0,11200.0,11200.0
"PG0098","Tuesday  ","Economy",11200.0,11200.0,11200.0
"PG0098","Thursday ","Economy",11200.0,11200.0,11200.0
"PG0098","Monday   ","Economy",11200.0,11200.0,11200.0
"PG0101","Tuesday  ","Economy",23000.0,20900.0,21105.31
"PG0101","Saturday ","Economy",23000.0,20900.0,21105.31
"PG0101","Thursday ","Economy",23000.0,20900.0,21105.31
"PG0106","Tuesday  ","Business",21500.0,21500.0,21500.0
"PG0106","Saturday ","Business",21500.0,21500.0,21500.0
"PG0106","Wednesday","Business",21500.0,21500.0,21500.0
"PG0106","Friday   ","Business",21500.0,21500.0,21500.0
"PG0106","Sunday   ","Business",21500.0,21500.0,21500.0
"PG0106","Thursday ","Business",21500.0,21500.0,21500.0
"PG0106","Monday   ","Business",21500.0,21500.0,21500.0
"PG0106","Friday   ","Economy",7900.0,7200.0,7246.3
"PG0106","Sunday   ","Economy",7900.0,7200.0,7246.3
"PG0106","Tuesday  ","Economy",7900.0,7200.0,7246.3
"PG0106","Saturday ","Economy",7900.0,7200.0,7246.3
"PG0106","Monday   ","Economy",7900.0,7200.0,7246.3
"PG0106","Wednesday","Economy",7900.0,7200.0,7246.3
"PG0106","Thursday ","Economy",7900.0,7200.0,7246.3
"PG0107","Sunday   ","Business",21500.0,21500.0,21500.0
"PG0107","Saturday ","Business",21500.0,21500.0,21500.0
"PG0107","Wednesday","Business",21500.0,21500.0,21500.0
